% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
355 +3.295760962e+00 +3.295760962e+00 -1.484642390e+02 -1.484642390e+02 -2.4204e-03 -5.0000e+00 +5.0000e+00 -5.0000e+00 -4.9461e+00 +3.9330e+00 -2.8819e+00 +4.1002e+00 +4.8881e+00 -1.3642e+00 -2.4784e-01 -3.8328e+00 -2.0255e+00 +2.3334e+00 -1.6853e+00 +2.2893e+00 +4.5255e+00 +2.5390e+00 -3.5494e+00 -1.6234e-02
1515 +2.390776392e+00 +2.390776392e+00 -1.493692236e+02 -1.493692236e+02 -2.2013e-03 -5.0000e+00 +5.0000e+00 -5.0000e+00 -4.9470e+00 +3.9296e+00 -2.8801e+00 +4.0993e+00 +4.8882e+00 -1.3641e+00 -2.6144e-01 -3.8323e+00 -2.0257e+00 +2.3334e+00 -1.6853e+00 +2.2866e+00 +4.5240e+00 +2.5397e+00 -3.5493e+00 -1.6247e-02
84594 +1.564221901e+00 +1.564221901e+00 -1.501957781e+02 -1.501957781e+02 -3.8510e-02 -4.8906e+00 +5.0000e+00 -5.0000e+00 -4.9448e+00 +3.0700e-05 -1.9913e+00 +4.0624e+00 +4.8512e+00 -1.6475e+00 +9.3613e-01 -3.7971e+00 -2.0304e+00 +2.2642e+00 -9.2171e-01 +2.6626e+00 +4.5394e+00 +2.5654e+00 -2.5515e+00 +3.4766e-01
% function evaluation | noise-free fitness - Fopt (6.680000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.694724619e+01 +1.694724619e+01 +8.374724619e+01 +8.374724619e+01 -3.3117e+00 -2.1801e+00 +1.7337e+00 -3.6916e+00 -4.1745e-01 +1.0257e+00 -3.9983e+00 +2.4232e+00 +1.3725e+00 +4.3705e+00 -7.5898e-01 +1.4353e-01 +6.7778e-01 -4.8820e+00 -3.8580e+00 +4.5163e+00 -2.6670e+00 +4.1068e+00 +2.9348e+00 +3.5432e+00
2 +9.840014672e+00 +9.840014672e+00 +7.664001467e+01 +7.664001467e+01 -1.4053e+00 -3.9155e+00 -4.1495e+00 -1.2735e+00 +4.9339e+00 +2.7056e+00 -2.2748e-01 -9.8569e-01 -3.1873e+00 +8.7677e-01 -2.3036e+00 +1.6831e+00 -7.3546e-01 +3.9569e+00 -3.6241e+00 +1.8469e+00 +4.5236e+00 +1.3946e+00 +4.2885e+00 -1.0085e+00
49 +6.139303983e+00 +6.139303983e+00 +7.293930398e+01 +7.293930398e+01 +2.4885e-01 -3.2300e-01 -3.5033e+00 +3.0804e-02 +7.2720e-01 +2.6858e+00 -5.0000e+00 +3.7338e+00 +3.7054e+00 +4.2784e+00 -1.7791e+00 -2.9864e+00 -4.2152e+00 -1.8408e+00 +5.0000e+00 +5.0000e+00 +1.2442e+00 +4.3084e+00 +3.9895e+00 -4.1904e+00
85 +3.721982994e+00 +3.721982994e+00 +7.052198299e+01 +7.052198299e+01 -3.0884e-01 -5.8752e-01 +1.0278e+00 +1.5393e+00 -9.3259e-02 -5.0000e+00 -3.8687e+00 +5.0000e+00 +4.0289e+00 +4.3763e+00 -1.2660e+00 -2.3662e+00 -3.8060e+00 -8.3773e-01 +1.4026e+00 +2.6584e+00 +2.0597e+00 +4.3892e+00 +2.8718e+00 -5.0000e+00
11580 +2.362641614e+00 +2.362641614e+00 +6.916264161e+01 +6.916264161e+01 +5.4058e-01 +1.0776e+00 +2.7144e+00 +1.1885e+00 -9.7666e-01 -4.7728e+00 -3.8957e+00 +4.8974e+00 +3.8772e+00 +4.5163e+00 -6.2159e-01 -2.6301e+00 -3.8299e+00 -1.4970e+00 +1.9252e+00 +2.6631e+00 +4.0344e+00 +4.4826e+00 +2.6882e+00 -5.0000e+00
94765 +1.558747008e+00 +1.558747008e+00 +6.835874701e+01 +6.835874701e+01 -3.2988e+00 +3.0298e-01 +3.1800e+00 +1.3777e+00 -8.2481e-01 -4.7407e+00 -3.8910e+00 +4.9644e+00 +3.7894e+00 +4.5193e+00 -5.5126e-01 -1.9488e+00 -3.8297e+00 -1.4103e+00 +1.0255e+00 +2.6624e+00 +4.1697e+00 +4.4368e+00 +3.2362e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (9.625000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.332227518e+01 +1.332227518e+01 +1.095722752e+02 +1.095722752e+02 -4.1550e+00 +3.0018e+00 +1.4989e+00 -1.6121e+00 +2.0612e+00 -6.0779e-01 -4.9954e+00 +3.6428e+00 +3.6924e+00 +5.9446e-02 +2.2204e+00 -1.9556e+00 -5.2643e-01 -3.4903e+00 -6.8523e-01 +3.5218e-01 -3.9239e+00 +4.7342e+00 -1.3277e+00 -2.7858e+00
7 +9.586530645e+00 +9.586530645e+00 +1.058365306e+02 +1.058365306e+02 -3.4700e+00 -4.9792e+00 +3.0658e+00 -8.9175e-01 -3.0531e+00 +2.6596e+00 -3.4278e+00 +7.1757e-01 -2.6889e-01 -5.6694e-01 +4.3387e+00 +4.7700e+00 +2.4891e+00 -1.8595e+00 -4.5221e+00 +3.4966e+00 +4.5657e+00 -4.2184e+00 -1.7388e+00 +2.9336e+00
