% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
68 +3.873173580e+02 +3.873173580e+02 +1.360773580e+02 +1.360773580e+02 -3.3848e+00 -1.6057e+00 +2.3864e+00 +1.4681e+00 -1.1161e+00 -8.8235e-01 +2.7482e+00 +1.5061e-01 +2.7333e+00 -9.6216e-01 +9.7931e-01 +4.3802e-01 +2.1475e+00 -8.0723e-01 -5.2181e-01 -1.3736e+00 +2.4112e+00 -1.5117e+00 -5.0871e-01 -2.1889e+00
114 +2.413418705e+02 +2.413418705e+02 -9.898129462e+00 -9.898129462e+00 -2.7995e+00 +2.6063e+00 +4.8603e-01 -5.9541e-01 +1.2571e+00 -4.7881e-01 -3.8336e-01 +1.1524e-01 +1.5829e+00 -1.3789e+00 +2.1494e+00 +1.9413e-01 +2.9089e-01 +3.5889e-01 +1.4535e+00 -2.5050e+00 +7.9973e-01 -2.7931e+00 +5.3785e-01 +7.9772e-01
805 +1.522431889e+02 +1.522431889e+02 -9.899681105e+01 -9.899681105e+01 -1.2404e+00 +1.7610e+00 +2.1535e+00 +1.2302e+00 +1.4114e+00 -1.0526e+00 -9.2867e-02 +1.0080e+00 +1.5327e+00 +1.4874e+00 +8.3563e-01 -2.2565e+00 -1.2195e+00 +6.8032e-01 +2.6353e-02 -1.8406e+00 +1.7554e+00 -2.0878e+00 +8.0004e-01 +1.6377e+00
% function evaluation | noise-free fitness - Fopt (-3.288000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.448841466e+02 +5.448841466e+02 +5.120041466e+02 +5.120041466e+02 -2.4061e+00 +1.3692e+00 -9.1615e-01 +3.6691e+00 -2.3787e+00 -2.7950e+00 -2.6116e+00 -1.4525e+00 +1.4937e+00 -1.8729e+00 +2.8965e+00 +3.8369e+00 -2.5871e+00 +2.5638e+00 -8.2238e-01 -2.1704e+00 -9.4219e-01 +3.0028e+00 -3.2339e-01 -4.1895e-02
138 +3.819678900e+02 +3.819678900e+02 +3.490878900e+02 +3.490878900e+02 -8.5884e-01 -5.6598e-01 +5.3341e-01 +1.6518e+00 -6.8203e-01 -4.1879e+00 -2.2258e+00 -3.5093e-01 -3.8266e-01 -1.5116e+00 +2.6156e+00 +3.0957e-01 +1.3409e+00 +8.0027e-01 -2.2634e+00 -3.7463e+00 -1.1532e+00 -9.0772e-02 -5.2337e-01 +9.3375e-01
296 +2.346969048e+02 +2.346969048e+02 +2.018169048e+02 +2.018169048e+02 -1.7923e+00 +9.6927e-01 +4.9658e-01 +2.1227e+00 -1.4562e+00 -2.2735e+00 +1.9102e+00 -2.0934e+00 -2.6859e+00 -1.1888e+00 +5.9452e-01 +8.1670e-01 +7.1821e-01 +2.3684e+00 -8.6653e-03 -8.8224e-01 -3.2341e-01 +4.4857e-01 -2.4025e+00 +6.7939e-01
866 +1.472421873e+02 +1.472421873e+02 +1.143621873e+02 +1.143621873e+02 -2.3918e+00 +8.6796e-01 +9.2899e-01 +1.5415e+00 -1.4871e+00 -2.3434e+00 +1.8116e+00 -9.2530e-01 -1.0503e+00 -2.8843e+00 +1.7731e+00 -6.0868e-01 +9.2288e-01 +1.6639e+00 +2.4729e-01 -1.3755e+00 +3.9167e-01 +6.2776e-01 -2.1711e+00 +8.1085e-01
% function evaluation | noise-free fitness - Fopt (-8.570000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.208736414e+02 +7.208736414e+02 +7.123036414e+02 +7.123036414e+02 +1.8916e+00 +3.0387e+00 -1.6184e+00 +3.7046e+00 +3.8898e+00 -3.8208e-01 +3.8005e+00 +1.2498e+00 -2.1245e+00 +9.7739e-01 -3.1189e+00 -2.5497e+00 +3.9929e+00 +2.3740e+00 +9.2705e-01 -4.2068e-01 -3.8342e+00 -2.7304e+00 -3.8695e+00 -7.1708e-01
