% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
20664 +1.457210313e-03 +1.457210313e-03 +1.238314572e+02 +1.238314572e+02 +1.4274e-01 -4.4377e-01 -6.7775e-01 -5.2410e-03 +6.6590e-01 -7.6216e-02 -7.2598e-01 -1.4266e-01 -6.5947e-03 +1.0979e+00 -2.6082e-01 -9.7335e-02 +3.1371e-01 -2.1308e-02 -7.0350e-01 -5.3498e-01 +1.0115e+00 -1.0380e-01 +2.3570e-01 +1.8496e-02
20717 +8.837881222e-04 +8.837881222e-04 +1.238308838e+02 +1.238308838e+02 +1.4165e-01 -4.4237e-01 -6.7961e-01 -5.1557e-03 +6.6945e-01 -7.4934e-02 -7.2655e-01 -1.4482e-01 -9.0668e-03 +1.1014e+00 -2.6297e-01 -1.0247e-01 +3.1129e-01 -1.9997e-02 -7.0355e-01 -5.3956e-01 +1.0146e+00 -1.0221e-01 +2.3613e-01 +1.6033e-02
20928 +5.933669848e-04 +5.933669848e-04 +1.238305934e+02 +1.238305934e+02 +1.4150e-01 -4.4170e-01 -6.8052e-01 -4.4225e-03 +6.7068e-01 -7.4273e-02 -7.2590e-01 -1.4555e-01 -9.9480e-03 +1.1030e+00 -2.6385e-01 -1.0421e-01 +3.0984e-01 -1.9348e-02 -7.0332e-01 -5.4107e-01 +1.0149e+00 -1.0203e-01 +2.3607e-01 +1.4484e-02
20964 +3.886580470e-04 +3.886580470e-04 +1.238303887e+02 +1.238303887e+02 +1.4181e-01 -4.4202e-01 -6.8001e-01 -4.5944e-03 +6.6945e-01 -7.4580e-02 -7.2611e-01 -1.4482e-01 -9.0080e-03 +1.1021e+00 -2.6326e-01 -1.0290e-01 +3.1066e-01 -1.9908e-02 -7.0333e-01 -5.3986e-01 +1.0140e+00 -1.0237e-01 +2.3622e-01 +1.5665e-02
21112 +2.450556249e-04 +2.450556249e-04 +1.238302451e+02 +1.238302451e+02 +1.4131e-01 -4.4119e-01 -6.8046e-01 -3.9105e-03 +6.7118e-01 -7.3983e-02 -7.2623e-01 -1.4581e-01 -1.0689e-02 +1.1035e+00 -2.6488e-01 -1.0508e-01 +3.0885e-01 -1.9298e-02 -7.0344e-01 -5.4227e-01 +1.0148e+00 -1.0110e-01 +2.3625e-01 +1.3592e-02
21222 +8.919316132e-05 +8.919316132e-05 +1.238300892e+02 +1.238300892e+02 +1.4058e-01 -4.3964e-01 -6.8168e-01 -2.7792e-03 +6.7436e-01 -7.2447e-02 -7.2658e-01 -1.4823e-01 -1.3455e-02 +1.1067e+00 -2.6756e-01 -1.1062e-01 +3.0516e-01 -1.7934e-02 -7.0287e-01 -5.4710e-01 +1.0164e+00 -9.9263e-02 +2.3654e-01 +9.8945e-03
21347 +5.835987318e-05 +5.835987318e-05 +1.238300584e+02 +1.238300584e+02 +1.4000e-01 -4.3878e-01 -6.8219e-01 -2.4092e-03 +6.7577e-01 -7.1891e-02 -7.2668e-01 -1.4892e-01 -1.4762e-02 +1.1080e+00 -2.6868e-01 -1.1261e-01 +3.0362e-01 -1.7389e-02 -7.0263e-01 -5.4883e-01 +1.0168e+00 -9.8416e-02 +2.3691e-01 +8.6841e-03
21565 +3.639541035e-05 +3.639541035e-05 +1.238300364e+02 +1.238300364e+02 +1.3997e-01 -4.3862e-01 -6.8219e-01 -2.3083e-03 +6.7598e-01 -7.1693e-02 -7.2656e-01 -1.4927e-01 -1.4976e-02 +1.1083e+00 -2.6886e-01 -1.1337e-01 +3.0334e-01 -1.7244e-02 -7.0253e-01 -5.4942e-01 +1.0169e+00 -9.8318e-02 +2.3673e-01 +8.1578e-03
21604 +2.499055441e-05 +2.499055441e-05 +1.238300250e+02 +1.238300250e+02 +1.3961e-01 -4.3803e-01 -6.8262e-01 -1.8694e-03 +6.7708e-01 -7.1134e-02 -7.2677e-01 -1.4996e-01 -1.6071e-02 +1.1093e+00 -2.6985e-01 -1.1498e-01 +3.0209e-01 -1.6833e-02 -7.0259e-01 -5.5099e-01 +1.0174e+00 -9.7515e-02 +2.3683e-01 +6.8807e-03
21684 +1.268149940e-05 +1.268149940e-05 +1.238300127e+02 +1.238300127e+02 +1.3975e-01 -4.3822e-01 -6.8255e-01 -1.9911e-03 +6.7669e-01 -7.1316e-02 -7.2655e-01 -1.4966e-01 -1.5721e-02 +1.1090e+00 -2.6952e-01 -1.1443e-01 +3.0248e-01 -1.7073e-02 -7.0262e-01 -5.5054e-01 +1.0174e+00 -9.7849e-02 +2.3687e-01 +7.4114e-03
