% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1211 +1.391713859e+02 +1.391713859e+02 -8.608286141e+02 -8.608286141e+02 +3.1191e+00 -1.1820e+00 +6.6081e-01 +3.8153e+00 -1.1591e+00 -1.7669e-01 +7.2297e-01 -2.8170e+00 -8.3237e-01 +3.8186e+00 +4.2424e+00 -2.8588e+00 -2.8959e+00 +1.5700e+00 -3.9454e+00 -5.0000e+00 -3.5452e+00 +4.9980e+00 -4.8952e+00 +4.9758e+00
2297 +9.672335384e+01 +9.672335384e+01 -9.032766462e+02 -9.032766462e+02 +3.2209e+00 -2.0750e+00 +1.5304e+00 +3.4510e+00 -1.2050e+00 -4.7952e-01 +8.2757e-01 -2.6316e+00 -1.2351e-01 +2.9053e+00 +3.2869e+00 +1.0992e-01 -3.6066e+00 +1.3216e+00 -3.4110e+00 -4.0689e+00 -3.9388e+00 +4.9934e+00 -4.9091e+00 +4.9707e+00
2604 +6.269989556e+01 +6.269989556e+01 -9.373001044e+02 -9.373001044e+02 +2.9648e+00 -2.3797e+00 +1.4499e+00 +3.3433e+00 -1.0594e+00 -2.2822e-01 +1.8216e-01 -2.9405e+00 -6.7040e-01 +1.7173e+00 +2.2587e+00 +6.8614e-01 -3.2001e+00 +1.5481e+00 -3.1574e+00 -4.2619e+00 -3.4625e+00 +4.9901e+00 -4.9001e+00 +4.9709e+00
3161 +3.942945884e+01 +3.942945884e+01 -9.605705412e+02 -9.605705412e+02 +2.3449e+00 -3.5213e+00 +1.3403e+00 +3.2864e+00 +1.0348e-02 +4.9544e-01 -3.0681e-01 -3.3686e+00 -1.3328e+00 +2.5816e-01 +1.3791e+00 +2.0629e+00 -2.5696e+00 +1.5691e+00 -2.5813e+00 -4.5476e+00 -3.3302e+00 +4.9868e+00 -4.8959e+00 +4.9268e+00
4053 +2.480327914e+01 +2.480327914e+01 -9.751967209e+02 -9.751967209e+02 +9.3362e-01 -3.1507e+00 +1.4139e+00 +3.2816e+00 +3.5943e-01 +3.5918e-01 -5.4326e-01 -3.6051e+00 -1.2285e+00 +7.3891e-01 +1.6635e+00 +2.2843e+00 -3.1647e+00 +2.0084e+00 -2.5046e+00 -3.4768e+00 -2.9141e+00 +4.9855e+00 -4.8918e+00 +4.8949e+00
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.718880081e+06 +1.718880081e+06 +1.719012001e+06 +1.719012001e+06 -6.4573e-01 -4.1710e+00 +1.3503e-01 +3.2045e+00 +1.8153e+00 +1.0069e+00 +5.0115e-01 -1.3477e+00 +1.3694e+00 -5.7730e-01 -4.9741e+00 -1.7522e+00 +8.0797e-01 +1.2089e+00 -4.4365e+00 -3.7089e+00 +4.5574e+00 +1.6917e+00 -3.3923e+00 -2.1791e+00
3 +1.444069955e+06 +1.444069955e+06 +1.444201875e+06 +1.444201875e+06 +3.0138e+00 -3.9812e+00 -5.7006e-01 -4.2258e+00 -3.3818e+00 -3.2163e+00 +4.7363e-01 -3.9883e-01 -3.4518e+00 -1.5413e+00 -3.4634e+00 +4.7647e+00 -9.1810e-01 +2.4778e+00 +1.9036e+00 -2.6172e+00 +3.8295e+00 +4.9998e+00 +3.0433e+00 +1.6902e+00
7 +4.206810290e+05 +4.206810290e+05 +4.208129490e+05 +4.208129490e+05 -4.4267e+00 +2.0760e+00 -2.2045e-01 +1.9435e+00 -1.6486e+00 -4.4170e+00 -2.4454e+00 +5.6950e-01 +3.4041e+00 +1.7165e+00 -5.8348e-01 +3.1725e+00 -2.4295e+00 -2.9032e+00 -4.0245e+00 -4.3922e+00 -3.3348e+00 -1.7269e+00 -1.6488e+00 +4.1524e+00
17 +3.175113413e+05 +3.175113413e+05 +3.176432613e+05 +3.176432613e+05 -3.4256e+00 +1.7755e+00 -4.8305e+00 +1.1892e+00 +5.0907e-01 -4.8856e+00 +1.0026e+00 +4.4227e+00 +9.8932e-01 +1.2672e+00 -2.6200e+00 -4.6189e-01 -7.0577e-01 +4.2539e+00 -2.2369e+00 -2.0198e+00 -8.9855e-01 -1.7898e+00 +2.9140e+00 +2.9592e-01
