% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +9.780388746e+02 +9.780388746e+02 +8.772288746e+02 +8.772288746e+02 +3.3888e+00 -1.8991e+00 -8.9628e-01 -4.7711e+00 +9.4719e-01 +2.9112e-01 +1.8500e+00 -8.1470e-01 +6.6585e-05 -7.6267e-01 +1.1850e+00 -2.1837e+00 +1.3541e+00 -1.3439e+00 +2.9153e+00 -4.7891e+00 +3.9624e+00 -2.5220e-01 -1.7640e+00 +2.2920e+00
83 +6.128515428e+02 +6.128515428e+02 +5.120415428e+02 +5.120415428e+02 -8.8288e-01 -2.8860e+00 +6.7492e-01 -1.9447e+00 +6.7628e-02 -1.2693e+00 +1.3612e-02 -1.7203e+00 -3.0267e+00 -1.2775e+00 +1.7019e+00 -1.9834e+00 +3.9313e+00 +5.7834e-01 -9.6984e-01 +9.7591e-01 -1.0652e+00 -3.3308e+00 -1.6145e+00 -2.1955e+00
853 +3.557399165e+02 +3.557399165e+02 +2.549299165e+02 +2.549299165e+02 +5.2647e-01 +3.3648e+00 +2.4221e+00 -4.6034e+00 +4.6047e+00 +9.7540e-01 +1.5562e+00 -3.0919e+00 -8.7323e-01 +7.9038e-02 +1.2048e+00 -4.5295e+00 -8.7940e-02 +7.6785e-01 +3.6621e+00 +1.3327e+00 +3.5740e+00 +3.7088e-02 -4.9689e+00 +2.8517e+00
9844 +2.500821127e+02 +2.500821127e+02 +1.492721127e+02 +1.492721127e+02 +2.2710e+00 +2.3693e+00 +1.8749e+00 -3.8873e+00 +4.8214e+00 +7.0820e-01 -1.1800e-01 -2.4511e+00 -5.3783e-01 -9.2413e-01 -3.3325e-01 -4.9932e+00 +8.6726e-01 -1.2612e+00 +2.9365e+00 +2.3780e+00 +2.4744e+00 +1.7850e-01 -4.9671e+00 +2.3355e+00
% function evaluation | noise-free fitness - Fopt (8.333000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.632827248e+03 +1.632827248e+03 +1.716157248e+03 +1.716157248e+03 +2.4392e+00 -9.9462e-01 -4.0725e+00 -5.1022e-01 -3.6814e+00 -1.0464e+00 -1.5048e+00 +4.6209e+00 -1.1264e+00 +4.8356e+00 +1.6824e+00 +3.8011e-01 +4.1691e+00 -2.4029e+00 +1.6399e+00 -3.8556e+00 -1.8367e+00 +3.9058e-01 +3.9840e+00 +1.8860e+00
4 +1.566409165e+03 +1.566409165e+03 +1.649739165e+03 +1.649739165e+03 -1.1151e+00 -2.6823e+00 -2.4730e+00 -1.5125e+00 -3.5878e+00 -1.3919e-02 +4.2812e+00 -3.1818e-01 -2.0959e+00 +3.1228e+00 +3.2223e+00 -1.4707e+00 -1.8306e+00 +1.6314e+00 +2.9466e+00 -3.8285e+00 -6.2916e-01 -1.2996e+00 -1.5251e+00 -9.2328e-01
31 +9.450451296e+02 +9.450451296e+02 +1.028375130e+03 +1.028375130e+03 +3.9900e+00 -1.2173e+00 +4.5459e+00 +3.6260e+00 +4.0966e+00 +2.8094e+00 +8.7867e-01 -2.1324e+00 +1.1223e+00 +2.1363e+00 +9.0515e-01 -8.2414e-01 -1.0518e+00 +1.5469e+00 +4.7876e+00 -4.8429e+00 +3.0106e+00 -1.9205e+00 -1.5282e+00 +2.4809e+00
120 +5.843224479e+02 +5.843224479e+02 +6.676524479e+02 +6.676524479e+02 +1.4292e+00 +5.4895e-01 +1.8990e+00 +4.8888e+00 +4.7650e+00 -6.3025e-02 +5.5347e-01 +7.4294e-01 +1.0493e+00 +3.4981e+00 -3.6477e+00 +6.0866e-01 +3.2661e-01 +0.0000e+00 +3.7946e+00 -5.0000e+00 +1.0332e+00 +1.3159e+00 +5.2663e-01 +3.2128e+00
702 +3.316286853e+02 +3.316286853e+02 +4.149586853e+02 +4.149586853e+02 +7.5010e-01 -2.4814e+00 +4.2930e+00 +4.8184e+00 +4.4302e+00 +3.8556e+00 -4.1602e-02 -5.9928e-01 -2.6081e-01 +3.9555e+00 -1.4793e+00 -1.1011e+00 -2.8521e-01 -3.5733e+00 +3.3538e+00 -4.9816e+00 +7.7751e-02 +3.3531e+00 +2.8553e+00 +2.8089e+00
1508 +2.450620982e+02 +2.450620982e+02 +3.283920982e+02 +3.283920982e+02 +6.5802e-01 -2.7409e+00 +5.0000e+00 +4.4435e+00 +3.9063e+00 +3.5350e+00 -1.1342e-01 -2.6300e+00 -9.5246e-01 +4.0895e+00 -4.9087e-01 +7.9044e-01 +3.7804e-02 -3.4328e+00 +2.8584e+00 -4.9993e+00 -7.8340e-01 +3.6162e+00 +4.3511e+00 +2.0044e+00
4707 +1.506188970e+02 +1.506188970e+02 +2.339488970e+02 +2.339488970e+02 +4.5120e-01 -3.1574e+00 +4.9935e+00 +4.2890e+00 +4.3410e+00 +3.5484e+00 -1.2327e+00 -3.4110e+00 -1.0661e+00 +4.1373e+00 +1.2602e-02 +2.7629e-01 +7.1088e-01 -2.6913e+00 +3.1072e+00 -4.9985e+00 -1.2763e+00 +3.7129e+00 +4.7090e+00 +2.9721e+00
11205 +9.999841751e+01 +9.999841751e+01 +1.833284175e+02 +1.833284175e+02 +5.1072e-01 -3.2099e+00 +4.9725e+00 +4.3915e+00 +4.4372e+00 +3.3110e+00 -1.2909e+00 -3.2999e+00 -1.0921e+00 +4.2353e+00 +6.8545e-02 +1.9284e-01 +6.5899e-01 -2.6057e+00 +3.0645e+00 -4.9987e+00 -1.3701e+00 +3.6668e+00 +4.5937e+00 +2.9412e+00
% function evaluation | noise-free fitness - Fopt (2.085600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.466606974e+02 +8.466606974e+02 +1.055220697e+03 +1.055220697e+03 -1.9219e+00 -9.3063e-01 -1.8906e+00 +4.2657e+00 -1.3384e+00 -4.2813e+00 -1.6845e+00 +1.4572e+00 -1.6430e+00 -1.4075e+00 +4.0632e+00 -3.3294e+00 -4.1847e+00 -1.6283e+00 +5.1265e-02 -1.8662e+00 -3.9731e+00 -4.0231e+00 +2.3397e+00 -4.8564e+00
77 +5.912922829e+02 +5.912922829e+02 +7.998522829e+02 +7.998522829e+02 -5.5311e-01 +4.0080e+00 +5.0000e+00 +3.9915e+00 +1.4560e+00 -5.0000e+00 +3.8334e+00 +1.2159e-02 -2.1131e-01 -4.8180e+00 +1.2783e+00 +3.0207e-01 -3.2632e+00 -4.0611e+00 +3.0050e-01 -5.0000e+00 +1.3159e+00 +2.5623e-01 -3.6239e+00 -2.7742e+00
197 +3.163502111e+02 +3.163502111e+02 +5.249102111e+02 +5.249102111e+02 -7.3453e-01 +3.6335e+00 +2.4048e+00 -4.4642e-01 +4.0344e-01 -1.6984e+00 +1.7935e+00 +3.0272e+00 -1.7531e+00 -5.0000e+00 -1.7701e+00 -1.0912e+00 -4.0851e+00 -1.1501e+00 -5.1860e-01 -1.8201e+00 -1.1865e+00 +2.9803e-01 -1.5827e+00 -7.6140e-01
